,area,perimeter,red_mean,green_mean,blue_mean,f1,f2,red_std,green_std,blue_std,f4,f5,f6,f7,f8,label
21,32544,1003.671135,33.69198608,43.80033875,41.00415039,0.32,0.68,47.78368215,56.87071724,53.76983771,4518.100024,67.80588079,2.214426315,2.110365031,3.246557442,0
22,32739.5,930.8010777,43.87117004,57.29449463,55.07174683,0.22,0.78,76.08357415,85.59344144,82.89338719,7666.903042,67.46761312,2.48092384,2.270569145,3.44872209,0
23,78.5,35.07106757,21.47035217,26.24388123,24.95175171,0.21,0.79,42.78582982,47.94432129,45.65324125,3354.838481,47.46758182,2.670218309,2.503525242,3.226494064,0
24,34613.5,994.9777011,43.31694031,57.55357361,47.53863525,0.29,0.71,42.89477934,56.34033787,45.99887451,1170.776735,34.54179498,2.011838055,1.846316749,3.776256465,0
25,2551,266.024385,9.377105713,12.88139343,12.97402954,0.07,0.93,28.67698253,36.06354447,35.47020229,2023.955475,25.15041781,3.345332402,3.282427885,3.173135323,0
26,28508.5,1024.350285,42.90762329,47.86767578,43.75453186,0.18,0.82,49.5926357,55.44122205,50.43911217,1030.933317,28.43854533,2.357253202,2.21931748,3.816891533,0
27,15609,929.0193316,52.41882324,51.53947449,51.7512207,0.02,0.98,93.82886707,92.36115512,92.70944964,3322.761719,39.06643539,3.06713716,3.01250948,3.80595026,0
28,36,24,16.46308899,20.35365295,18.65968323,0.15,0.85,39.63173615,46.19585592,42.37625254,2764.929511,35.39256482,3.116606123,3.002641841,3.294276836,0
29,20087.5,1246.482316,16.574646,26.00782776,22.61405945,0.21,0.79,34.96157053,48.42307323,42.42148391,2952.514432,40.85693742,2.878367484,2.70733237,3.26800446,0
30,9.5,12.24264061,19.78465271,24.22071838,23.25933838,0.17,0.83,42.25379047,47.55006073,46.01816868,3628.488903,45.51957198,2.856552779,2.761567676,3.156797507,0
31,2332,262.7106767,14.75653076,17.46896362,17.51979065,0.09,0.91,36.12221745,38.92421007,38.67161859,2175.842687,29.44695009,3.074902161,2.892401061,3.260184407,0
32,32925,763.6122591,16.07321167,26.39305115,23.11627197,0.23,0.77,33.98251403,45.08564482,40.33964952,2715.43513,39.71539882,2.709805077,2.525198509,3.23043712,0
33,16042.5,1166.232535,62.26808167,63.03211975,62.48484802,0.05,0.95,106.2894868,107.5557488,106.6431791,3169.609065,23.7039799,3.189651915,2.953931393,3.861962473,0
34,1976,280.2253956,9.966781616,13.63345337,13.35765076,0.09,0.91,28.72872766,35.55780885,34.25975711,1860.254857,24.41969044,3.301696896,3.206270915,3.207481926,0
35,2.5,7.414213538,23.34863281,29.078125,28.24230957,0.18,0.82,44.01341085,51.46426396,49.35745524,4160.250436,53.41835484,2.700581919,2.580608373,3.16524091,0
36,28356,1123.210239,18.77331543,25.39569092,23.71086121,0.2,0.8,37.46851184,45.41643034,42.2826571,2660.808285,38.97395605,2.760722508,2.520570557,3.292676491,0
37,7406.5,466.6934313,26.17332458,35.07380676,30.77197266,0.21,0.79,45.14788968,54.26320983,48.41278735,3067.556617,47.67232609,2.630648555,2.525949789,3.411365054,0
38,1433.5,254.8111818,33.23861694,36.70545959,34.17271423,0.22,0.78,50.49881048,53.53928359,50.17502296,3678.978097,55.69107411,2.423172476,2.280214487,3.319961657,0
39,8.5,11.41421354,14.04797363,19.91018677,17.98893738,0.19,0.81,36.12753111,40.67349182,39.19230561,2466.049668,34.80370062,2.82320712,2.65985822,3.209939754,0
40,30233,1018.700573,26.3531189,37.37008667,33.44819641,0.28,0.72,44.15183592,56.93967122,51.07115866,3748.727681,53.65385651,2.561884047,2.440946309,3.346724116,0
41,35726.5,951.2375876,50.42182922,63.38673401,52.94636536,0.39,0.61,46.74155509,58.94032544,48.97278236,721.4511563,24.49500415,2.02179912,1.774390099,3.877807597,0
42,17,21.31370831,40.30853271,39.73970032,39.53665161,0.03,0.97,52.51369094,52.33941017,51.83298197,1601.120761,35.91510315,2.512800047,2.435732733,3.705926964,0
43,29888,814.6416968,21.375,26.65093994,26.09944153,0.16,0.84,43.120647,48.91992291,47.84704426,4093.939106,51.72696379,2.742895112,2.661792,3.107449586,0
44,28011,920.8771976,38.73213196,43.1884613,39.27168274,0.16,0.84,46.12676396,51.36968496,46.50905787,964.6339388,28.48332342,2.385229825,2.256115047,3.799852539,0
45,31387,996.842707,38.48265076,48.80691528,43.8752594,0.37,0.63,51.7005335,61.33294725,56.08489812,5016.17331,73.12712112,2.169003119,2.080233459,3.268106872,0
46,20338.5,1518.222432,19.00527954,23.81983948,21.56195068,0.23,0.77,41.46526789,45.28639736,42.70785077,3176.296243,42.93007996,2.780302407,2.666729923,3.177261011,0
47,32381.5,1165.144222,37.5072937,48.42329407,42.3164978,0.36,0.64,51.98187182,61.36851133,54.82118916,3810.375183,60.24981029,2.213420721,2.088448435,3.436309306,0
48,2828.5,376.0660157,18.09390259,22.438797,21.80218506,0.13,0.87,39.71681491,46.66240307,44.50851248,2420.605316,33.802381,2.973959997,2.806365072,3.406288657,0
49,33.5,27.07106769,20.34484863,26.05485535,23.20121765,0.21,0.79,42.45169921,51.19376974,46.30978794,2968.43933,40.5805233,2.970987395,2.921476416,3.375219775,0
50,7.5,11.41421354,0.9607849121,0.895980835,0.8958740234,0,1,8.221754532,7.895096487,7.822707633,128.9812126,2.167238442,3.88199271,3.858187497,2.968920495,0
51,34894,887.9898942,36.9901123,44.0718689,40.31976318,0.34,0.66,54.95915753,61.06943469,56.90776108,5085.651923,70.3606241,2.22535269,2.132476394,3.270274586,0
52,418,90.62741661,3.846313477,4.431793213,4.134567261,0.03,0.97,16.66480787,18.16396216,16.60528279,489.3468548,7.809424801,3.702401752,3.539220553,3.194363328,0
53,19803,1409.009227,16.49163818,21.17289734,19.820755,0.17,0.83,36.31489708,43.07205442,39.80986484,1471.967193,24.67632095,2.993416805,2.721842842,3.567081729,0
54,18261.5,1287.629504,27.67857361,28.67672729,27.62414551,0.07,0.93,45.31079505,47.30861184,45.36192582,1318.469277,27.61945255,2.894468977,2.838185164,3.693108812,0
55,30602.5,1341.48737,46.71582031,51.36463928,47.19909668,0.18,0.82,50.68114674,55.65709375,50.95727038,1362.176375,34.68460592,2.204898025,2.078639621,3.761758086,0
56,39426.5,1103.345234,50.85473633,64.979599,59.10676575,0.39,0.61,55.69213589,64.52202446,59.68531905,4540.17536,74.12894812,1.753008621,1.646899672,3.402755437,0
57,31046.5,1143.119838,48.46818542,54.5093689,49.70825195,0.18,0.82,51.86028383,58.37417403,52.88580108,1292.792925,34.20790261,2.19201127,2.059000828,3.791785603,0
58,15825,1041.185852,17.45576477,22.85426331,21.18067932,0.17,0.83,38.21252995,46.82196822,43.35588802,2517.215425,35.54055562,2.996511092,2.892355882,3.370423085,0
59,21315,794.7939367,29.78700256,29.26783752,26.59558105,0.08,0.92,43.58622418,43.38744616,39.20821052,419.5998436,11.62661182,2.913629075,2.668135673,3.881289105,0
60,17127,1263.210238,15.54995728,22.72640991,20.12742615,0.2,0.8,37.47019658,46.75868618,42.76667057,2879.671078,37.33228542,2.986444025,2.885336035,3.269574156,0
61,664.5,116.0416301,17.09507751,20.39299011,19.64111328,0.16,0.84,39.02504505,42.34883422,40.94112039,2581.392206,36.09988556,2.923969121,2.754601838,3.247741948,0
62,99.5,40.72792172,13.15869141,18.33572388,16.6302948,0.18,0.82,30.95450074,38.54905002,35.03410409,2033.299584,29.73610979,2.989880769,2.797335324,3.236620705,0
63,20628.5,928.5512959,29.71762085,32.60980225,29.90730286,0.12,0.88,44.62327804,49.4111412,44.96222065,1196.803962,28.21674392,2.765969921,2.697031461,3.733266528,0
64,15678.5,847.4041078,17.29197693,24.9508667,23.95379639,0.16,0.84,37.34347665,48.60245943,45.9425948,2742.426694,38.84533485,2.893022721,2.769766752,3.363122765,0
65,43726,895.9655101,51.61073303,65.86709595,56.5776825,0.28,0.72,47.64131336,59.2049382,50.64619036,2232.693778,51.56670259,1.754351833,1.625403946,3.625769564,0
66,32,25.65685415,17.63386536,21.42633057,19.91934204,0.17,0.83,39.9334116,46.39389736,43.04502563,2602.978477,35.34841966,3.050766119,2.966321195,3.347846436,0
67,3876,291.6812396,12.75650024,16.55169678,15.56578064,0.13,0.87,33.9269626,40.44959482,37.80260282,2518.359933,31.92276961,3.195594716,3.072256584,3.16667057,0
68,3543,411.3380942,16.72271729,21.27481079,20.33813477,0.17,0.83,38.08555633,43.54238732,41.79481284,2650.992141,36.60514117,2.966625786,2.860365031,3.26068601,0
69,25828,805.3279886,29.31874084,36.3528595,33.79341125,0.26,0.74,48.81227099,57.76546402,54.00906691,3867.815503,54.50083628,2.624367046,2.55876574,3.375024039,0
70,27613.5,765.8305149,27.56907654,35.53956604,32.08059692,0.28,0.72,48.44333969,57.59938568,52.88531643,4070.861142,55.80164204,2.618659891,2.537151414,3.329521095,0
71,18026,912.6518019,25.58021545,28.39871216,26.2532959,0.11,0.89,42.33387301,47.23537831,43.32324637,994.6996414,23.74906334,2.922392613,2.860830393,3.758133633,0
72,37165,843.5634891,42.30776978,50.12982178,42.73252869,0.3,0.7,39.93856295,47.37887026,40.15891218,748.8977303,23.89257677,2.104188036,1.746763006,3.806771853,0
73,34218.5,1128.457932,42.3979187,54.00993347,49.28120422,0.39,0.61,55.74361791,64.74149252,60.12484452,5509.042856,78.15343558,2.000200171,1.886275182,3.287406636,0
74,83,35.65685415,19.140625,27.08287048,24.7515564,0.24,0.76,39.37010254,47.8542319,44.55670888,3878.257533,49.29534692,2.676083816,2.531534569,3.071424292,0
75,32533.5,938.7422024,18.85551453,25.40388489,22.95158386,0.18,0.82,41.07290919,48.57523584,44.69246745,2462.389277,35.56518851,2.899180689,2.815787548,3.426254682,0
76,27730,959.3279883,25.59315491,29.74880981,27.60180664,0.25,0.75,47.20602895,51.83561236,48.78727271,3699.907637,50.9657377,2.728076531,2.639012499,3.270719551,0
77,28017,874.2497815,40.71942139,40.77400208,37.3473053,0.12,0.88,47.97774446,48.522984,44.153098,448.7401163,12.72616938,2.656483787,2.255960717,3.8983751,0
78,59,36.14213526,16.07617188,20.22595215,19.80860901,0.12,0.88,37.89824137,44.83855284,43.48594743,3056.860097,38.52351271,3.073055095,3.009992763,3.197574419,0
79,326.5,79.55634892,12.43719482,17.5592804,14.94644165,0.17,0.83,32.67930824,39.41809392,34.98247111,2160.38924,30.87975226,3.082494741,2.964659236,3.213855144,0
80,348.5,82.66904652,9.833740234,15.07797241,13.99191284,0.13,0.87,28.72223004,35.78180812,34.13338822,1755.443409,24.4969239,3.191766511,3.097041787,3.252835871,0
81,29557,881.0437173,21.17893982,26.56936646,25.30892944,0.19,0.81,43.11929249,50.3078048,48.10276846,3493.488221,45.60648272,2.852889043,2.782159805,3.266227892,0
82,26093.5,1087.77164,33.46000671,40.45930481,37.4974823,0.28,0.72,51.25842978,58.87352678,55.07347382,3984.456962,57.94438972,2.492145867,2.412140283,3.38157938,0
83,6440.5,543.9482639,11.64486694,15.32414246,14.81489563,0.1,0.9,32.91440385,36.23594219,35.13164232,1743.685464,25.26030481,3.147106968,2.968568776,3.295954913,0
84,3.5,7.414213538,35.08982849,45.0418396,41.8004303,0.34,0.66,48.92231106,58.56904313,54.69612471,4514.687433,67.50483065,2.234480216,2.141007812,3.285748064,0
85,258.5,68.66904688,12.40896606,14.19897461,14.40652466,0.08,0.92,33.6642422,36.97578408,36.0431225,1830.650054,24.75649197,3.241746659,3.03800104,3.304500672,0
86,23816,942.5929264,32.04501343,37.32038879,32.46542358,0.16,0.84,43.41998319,50.50757562,43.82552522,773.8833306,21.97571859,2.630655869,2.508975068,3.828453767,0
87,40162,970.9604594,58.70677185,69.19950867,65.11671448,0.39,0.61,60.17034941,65.20390386,62.51120435,5725.942784,89.36905811,1.590948164,1.502976255,3.289589834,0
88,690.5,152.811182,11.33500671,13.682724,13.98442078,0.05,0.95,32.98784666,38.74058721,38.30062908,1526.226686,20.75890517,3.353555108,3.260203461,3.468307496,0
89,23.5,20.2426405,22.18778992,27.03115845,26.50454712,0.16,0.84,43.78464516,50.35568077,49.10581703,3804.211056,49.20914258,2.808909652,2.740851214,3.213821199,0
90,32499.5,1060.977703,41.6789093,51.508255,44.85501099,0.18,0.82,45.15454864,55.10121324,47.45616718,896.9014633,26.28567594,2.222216496,2.037874823,3.828519571,0
91,48.5,27.07106769,12.97843933,20.00323486,18.25138855,0.13,0.87,32.99014841,43.71152314,40.43979481,2152.74151,29.62987811,3.107503838,3.006344554,3.368200148,0
92,28056,1129.636644,20.23738098,27.13960266,25.27870178,0.22,0.78,40.58599917,48.4176074,45.62783103,3451.826807,45.58099012,2.7609193,2.639751291,3.20455106,0
93,22686.5,1464.364566,22.7350769,30.68215942,27.99662781,0.25,0.75,43.6566279,51.98404821,48.36257219,3886.008159,52.59719645,2.622235764,2.537821024,3.216708142,0
94,28528,726.09754,26.03224182,38.05581665,33.15185547,0.33,0.67,43.12060929,55.85390159,49.81070165,4007.329465,59.16989661,2.471504148,2.404827686,3.272791198,0
95,43554,904.1909051,68.40525818,78.00350952,69.32678223,0.33,0.67,52.1689136,59.03659154,52.70708548,1709.967779,46.30266082,1.532408091,1.340508791,3.726765164,0
96,27941,1021.470124,27.12463379,36.39155579,32.00091553,0.32,0.68,47.26395077,54.49863443,49.98134508,3914.363087,56.58491416,2.39441819,2.291506223,3.280474817,0
97,6.5,12.24264061,19.21858215,24.80377197,23.19577026,0.19,0.81,41.04808756,47.00615092,44.56850557,2836.584923,40.13151859,2.797280703,2.702321661,3.313902372,0
98,489,87.25483274,12.67379761,16.02548218,15.93255615,0.09,0.91,33.1492947,39.80879584,38.4953864,2243.168571,28.93300834,3.181360785,3.067663696,3.248759158,0
99,19006,828.5929263,28.26194763,29.81658936,27.8560791,0.08,0.92,45.1206462,48.02521225,44.65085851,1293.650551,27.81887369,2.858503016,2.798946006,3.701430248,0
100,24034,853.4213541,38.39027405,45.19111633,39.21568298,0.18,0.82,48.03797983,56.2370576,48.72552319,784.111399,20.09729719,2.549914819,2.367639013,3.859015229,0
101,26983.5,1008.149275,45.09136963,49.9418335,45.66273499,0.15,0.85,54.09324068,60.10476849,54.58595517,785.713833,21.94440281,2.473755296,2.313574383,3.881568927,0
102,25807.5,921.8061287,39.40722656,45.17936707,40.21150208,0.18,0.82,49.72362796,57.05424094,50.50075347,846.9058879,23.88962809,2.53106079,2.390750644,3.854936666,0
103,4713.5,493.8893893,12.54582214,15.42591858,14.56411743,0.11,0.89,33.8997416,39.67120658,37.28526093,1892.823896,25.90420469,3.262151145,3.146891482,3.355299093,0
104,49.5,32.24264061,21.37036133,26.77838135,25.59872437,0.16,0.84,42.01508398,49.67182388,47.25434028,2883.445982,41.46008861,2.861865867,2.780284041,3.373132208,0
105,40950.5,889.3208486,81.82519531,86.54815674,80.1782074,0.24,0.76,64.7230677,68.95262776,63.49758783,1842.906765,48.06473946,1.615948113,1.461460901,3.791826593,0
106,23766.5,1071.605119,37.05574036,40.46943665,37.56588745,0.12,0.88,49.13033499,53.88227711,49.66366854,681.8082939,18.54009425,2.666840547,2.507847235,3.873436025,0
107,38875,1061.137082,59.81288147,68.28796387,60.35165405,0.29,0.71,50.48503153,57.37443293,50.58875924,1092.483091,34.34701257,1.795464626,1.584362099,3.814322447,0
108,31249,899.5533838,27.96058655,36.34179688,32.88859558,0.29,0.71,45.45356027,54.02645703,49.68195841,3739.033584,56.31122964,2.463184687,2.367726329,3.298897516,0
109,26485,959.2203429,42.28395081,47.00297546,43.28781128,0.13,0.87,51.97926988,57.9423558,53.02885908,993.5291766,27.04391418,2.46843117,2.347208708,3.839349199,0
110,16547,1584.832603,16.00468445,20.08416748,18.86758423,0.16,0.84,36.17725678,41.94269426,39.23249979,1794.762727,27.87076401,3.028996754,2.909107644,3.450009362,0
111,20749,1086.450791,31.45829773,35.80158997,32.45652771,0.12,0.88,46.79009988,53.67159313,48.13656171,822.1714205,19.736264,2.802105821,2.691881845,3.841665069,0
112,35.5,27.07106769,19.69941711,23.83874512,22.0284729,0.19,0.81,42.00410184,47.54058804,44.17523202,2793.881366,38.63161056,2.904567393,2.765767601,3.335061716,0
113,10.5,13.07106769,15.89059448,22.61851501,20.33454895,0.18,0.82,37.24376643,45.9545049,41.7486996,3126.33889,40.35486117,2.895919939,2.72077712,3.17471193,0
114,29888,814.6416968,21.37588501,26.65153503,26.09773254,0.16,0.84,43.12370222,48.9203197,47.84485492,4093.716556,51.72582793,2.742844665,2.661791996,3.107485212,0
115,24694,1348.582823,28.28692627,35.58790588,33.07073975,0.27,0.73,49.13387471,56.92141816,53.20268476,4413.940146,58.90942396,2.53015858,2.419048607,3.266419151,0
116,44042.5,876.7766922,59.44580078,78.95129395,63.20892334,0.42,0.58,44.09051142,56.20200135,45.70052567,601.7401953,23.69358642,1.689352004,1.277297296,3.883905274,0
117,20563,1116.901583,29.5909729,29.9102478,29.57701111,0.04,0.96,44.56515048,45.35852123,44.64929757,1261.36765,29.25497939,2.764031188,2.700351442,3.68815041,0
118,39908.5,920.4091609,46.30281067,58.17565918,48.01315308,0.34,0.66,46.19856259,56.86656201,47.47808696,2892.967554,57.48847901,1.879706033,1.775871468,3.476087847,0
119,22816.5,874.8355672,35.88157654,35.5395813,34.5851593,0.04,0.96,49.22644129,48.96416663,47.42556307,369.9462755,8.588594171,2.944650938,2.570945289,3.921124892,0
120,29968,1227.445738,28.40653992,29.55395508,25.88580322,0.13,0.87,32.49434849,34.3220191,30.02193802,814.0513478,27.08415345,2.273780413,2.11667327,3.618849303,0
121,37872.5,858.9533173,55.90325928,63.92607117,56.29315186,0.27,0.73,49.41265571,56.13732351,49.48178659,1275.241505,39.14617082,1.821978103,1.655312459,3.773225345,0
122,37519,955.2447282,21.69488525,25.92202759,24.19888306,0.21,0.79,42.81710936,47.55651153,44.68925296,3355.62711,46.00898134,2.761768255,2.58550342,3.208360922,0
123,38339.5,928.6101717,52.35063171,67.90083313,54.87649536,0.36,0.64,47.57882091,60.61013612,49.11922669,1724.052184,44.81913086,1.803161305,1.657994402,3.716913249,0
124,23819.5,847.4629829,36.88478088,36.88839722,35.63360596,0.07,0.93,49.45688377,49.61970668,47.7789941,615.7167466,15.86597366,2.755323978,2.51290095,3.871434511,0
125,27444,1077.411249,25.25282288,30.57661438,29.33827209,0.25,0.75,47.02906517,52.49082697,50.34657532,3677.124465,49.66427173,2.576812002,2.386100563,3.297771565,0
126,2343,264.7106769,13.63496399,16.55288696,16.97177124,0.02,0.98,33.71137706,38.57584603,38.66841008,2455.600396,32.4961188,3.105935227,3.00821098,3.152223252,0
127,1.5,7.414213538,11.05601501,15.93716431,15.34440613,0.15,0.85,27.85316368,34.52118049,33.00786044,1912.523436,28.14569577,3.058475451,2.927757741,3.130898645,0
128,22191,1087.705624,34.82785034,36.59623718,34.39256287,0.08,0.92,49.62296717,52.60632211,49.07881732,1433.153402,31.64094345,2.672335701,2.601921702,3.724818604,0
129,5.5,10.24264061,10.1758728,13.77391052,13.65750122,0.07,0.93,29.95702154,36.62383407,35.31386031,2058.673298,26.47156244,3.264725486,3.169759054,3.177534554,0
130,24974.5,928.9777031,40.30812073,39.73983765,39.53622437,0.03,0.97,52.51303914,52.34025674,51.83179883,1601.121189,35.91504163,2.512821304,2.43573273,3.705926935,0
131,16746.5,1143.53614,11.33517456,15.54194641,13.12471008,0.15,0.85,31.91910522,37.2756482,32.93655162,1988.036949,27.52122549,3.167956116,2.918453369,3.19945073,0
132,1340,187.8233752,7.721328735,10.7612915,10.52133179,0.07,0.93,26.1620952,30.2539054,29.34851027,1328.061421,18.32217921,3.345299833,3.110876202,3.227578021,0
133,35504.5,1055.747254,43.48898315,50.01512146,48.55465698,0.26,0.74,55.98569906,61.14357658,59.33359167,3869.447656,61.32517589,2.155004607,2.044804561,3.458841775,0
134,19430.5,918.776692,27.38471985,28.02983093,26.72090149,0.05,0.95,42.61698575,44.02334126,41.73722635,729.13542,20.01373967,2.869759348,2.779508994,3.803209255,0
135,220.5,58.04163015,8.964202881,11.11991882,9.877502441,0.09,0.91,28.1422663,32.60254316,29.07183218,1395.641832,20.20037107,3.407132333,3.303100896,3.269710705,0
136,3130,300.426406,6.503372192,7.577575684,7.638336182,0.05,0.95,24.34046383,25.76399565,25.97825295,1157.933956,16.23244996,3.430604499,3.340487313,3.114898666,0
137,25196,1062.04877,37.92356873,41.651474,38.57643127,0.13,0.87,48.85371676,53.86203212,49.55687847,1207.48358,29.83790766,2.506968646,2.404520967,3.77489216,0
138,37091,1147.220345,18.80369568,27.98240662,63.50553894,0.15,0.85,42.71963539,52.77766954,82.82334835,1372.411819,20.20484603,2.777877272,2.161823998,3.744318885,0
139,36,23.31370819,9.807052612,13.04130554,13.54240417,0.07,0.93,27.95099143,32.97426947,33.0554889,1655.46299,23.17116632,3.188595536,3.019771396,3.20657989,0
140,23776.5,1288.624452,19.61727905,27.61880493,25.33790588,0.19,0.81,38.66570749,48.96838558,44.35871284,2701.800463,40.54551555,2.725646059,2.482030491,3.36598149,0
141,7826,583.563489,14.9553833,19.18284607,18.53125,0.15,0.85,34.1824422,41.12827721,38.87490305,1878.186214,28.71451521,3.007616074,2.823104198,3.39854281,0
142,4947.5,428.5512959,3.155822754,3.447296143,3.518249512,0.02,0.98,16.31937599,16.8519464,16.47991561,443.7219353,6.557762519,3.765915087,3.650914375,3.180964106,0
143,27484.5,1057.830514,28.35095215,33.73318481,30.78236389,0.25,0.75,47.92821827,53.99696829,49.9090391,3223.781395,47.40293595,2.657728857,2.557831926,3.402845358,0
144,144,48.48528123,12.61476135,15.99864197,14.52148438,0.13,0.87,36.03390154,41.24943753,38.42194485,1761.020988,23.85688978,3.290305056,3.218511254,3.443270364,0
145,31568.5,1057.286358,33.41870117,42.88787842,38.8152771,0.32,0.68,49.65084525,58.3392099,53.5671202,4440.166454,64.42728224,2.263915005,2.139399527,3.285648376,0
146,20995.5,814.4091611,33.25376892,33.38626099,31.7431488,0.05,0.95,48.71944069,49.16166708,46.47975972,399.4484066,9.496463019,2.998382604,2.687746309,3.913911521,0
147,32977,809.6122596,28.95832825,42.31230164,37.78979492,0.38,0.62,45.35619075,56.13498239,51.56255892,4274.860405,62.99561172,2.191697074,2.052551427,3.248802879,0
148,908.5,201.4974736,21.62306213,27.47564697,24.95530701,0.21,0.79,41.7809172,49.46918879,45.54554098,3859.439768,50.89633278,2.772539421,2.717441316,3.137671006,0
149,36083.5,932.5168065,52.34959412,61.03475952,54.7166748,0.37,0.63,55.65528569,61.39496467,55.98335008,3301.455573,62.04107675,1.886536377,1.756026969,3.522024599,0
150,83,37.79898942,11.84820557,16.73661804,15.78186035,0.13,0.87,32.11831392,38.90311247,36.76935788,2151.187915,28.49981377,3.119966736,2.995930589,3.226872434,0
151,6,10.82842708,15.5652771,19.2671814,19.0428009,0.13,0.87,35.86597433,39.61152948,39.15672755,2673.792695,37.30616626,2.812446629,2.639845166,3.119637338,0
152,203.5,56.72792172,10.78007507,14.77801514,13.27848816,0.15,0.85,29.73720531,35.99095942,32.62990403,1805.671978,24.56007281,3.187004058,3.041127302,3.22745801,0
153,83,40.97056234,17.4672699,23.9067688,22.19047546,0.19,0.81,36.96530913,44.34416574,41.35901774,2341.930348,35.09016142,2.798831688,2.597389653,3.348882927,0
154,24.5,25.5563488,6.264144897,7.727020264,8.135269165,0.04,0.96,21.77464578,24.75457918,24.75762077,746.4205197,11.75114998,3.535140493,3.388751767,3.358088792,0
155,23.5,22.24264061,17.64305115,17.73937988,17.14649963,0.03,0.97,30.81914479,31.80184443,30.32811857,402.583254,12.63458141,3.073564346,2.964604475,3.792110064,0
156,0.5,3.414213538,23.92616272,31.82116699,29.86357117,0.22,0.78,42.09566025,51.6158055,48.42252276,3356.301978,49.43284338,2.612300838,2.517546104,3.314650564,0
157,34,22.82842708,19.36782837,25.5019989,23.65109253,0.18,0.82,40.61474351,49.32931278,46.00639695,3245.309476,43.58550119,2.92576675,2.83853166,3.272002868,0
